,SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON,pollution_index,pollution_level
0,ABT147,27,2023,7/11/2023 8:00:00 AM,0.042,0.032,0.759,0.295,0.129,0.022,0.055,0.279,0.088,0.258,0.098,0.915,0.834,7/04/2023,0.1514158728767784,0
1,ABT147,28,2023,7/18/2023 8:00:00 AM,0.114,0.033,0.74,0.287,0.091,0.056,0.302,0.268,0.332,0.316,0.121,1.273,1.06,7/11/2023,0.19655450940200206,0
2,ABT147,29,2023,7/25/2023 8:00:00 AM,0.062,0.033,0.648,0.251,0.074,0.02,0.07,0.276,0.128,0.294,0.112,0.705,0.766,7/18/2023,0.12875629713793274,0
3,ABT147,30,2023,8/01/2023 8:00:00 AM,0.064,0.033,0.598,0.232,0.069,0.022,0.096,0.304,0.196,0.333,0.127,0.841,0.784,7/25/2023,0.1427690179899554,0
4,ABT147,31,2023,8/08/2023 8:00:00 AM,0.059,0.176,0.348,0.135,0.065,0.033,0.208,0.366,0.382,0.331,0.126,0.596,0.724,8/01/2023,0.10962999183664547,0
5,ABT147,32,2023,8/15/2023 8:00:00 AM,0.064,0.033,0.366,0.142,0.062,0.017,0.058,0.309,0.222,0.269,0.103,0.672,0.582,8/08/2023,0.10596569808145506,0
6,ABT147,33,2023,8/22/2023 8:00:00 AM,0.054,0.034,0.422,0.164,0.059,0.015,0.031,0.266,0.105,0.293,0.112,0.596,0.52,8/15/2023,0.10037729659680802,0
7,ABT147,34,2023,8/29/2023 8:00:00 AM,0.041,0.034,0.25,0.097,0.043,0.019,0.113,0.116,0.189,0.161,0.061,0.418,0.434,8/22/2023,0.06481833908137874,0
8,ABT147,35,2023,9/05/2023 8:00:00 AM,0.175,0.034,0.467,0.181,0.051,0.035,0.096,0.282,0.457,0.316,0.121,0.725,0.917,8/29/2023,0.1324393522743192,0
9,ABT147,36,2023,9/12/2023 8:00:00 AM,0.24,0.033,0.649,0.252,0.071,0.046,0.109,0.425,0.323,0.265,0.101,1.515,0.962,9/05/2023,0.2064133947381291,0
10,ABT147,37,2023,9/19/2023 8:00:00 AM,0.05,0.033,0.227,0.088,0.043,0.011,0.029,0.138,0.143,0.265,0.101,0.337,0.366,9/12/2023,0.06183824974023434,0
11,ABT147,38,2023,9/26/2023 8:00:00 AM,0.061,0.487,0.185,0.072,0.048,0.04,0.296,0.169,0.249,0.245,0.094,0.373,0.431,9/19/2023,0.0648289981356132,0
12,ABT147,39,2023,10/03/2023 8:00:00 AM,0.118,0.042,0.324,0.126,0.096,0.034,0.154,0.291,0.388,0.248,0.095,0.57,0.707,9/26/2023,0.09937027182474487,0
13,ABT147,40,2023,10/10/2023 8:00:00 AM,0.162,0.232,0.323,0.125,0.058,0.053,0.285,0.164,0.423,0.223,0.085,0.747,0.741,10/03/2023,0.11448171685036407,0
14,ABT147,41,2023,10/17/2023 8:00:00 AM,0.173,0.033,0.463,0.18,0.041,0.031,0.041,0.2,0.384,0.217,0.083,0.44,0.84,10/10/2023,0.0962756906336593,0
15,ABT147,42,2023,10/24/2023 8:00:00 AM,0.033,0.086,0.151,0.059,0.027,0.015,0.12,0.062,0.202,0.182,0.069,0.221,0.351,10/17/2023,0.04191054311033343,0
